name,value,colour
LEIA,55,#DCDCDC
C-3PO,62,#FFD700
R2-D2,58,#bde0f6
LUKE,183,#3881e5
DARTH VADER,67,#000000
EMPEROR,4,#191970
YOUNG GIRL,4,#808080
BIGGS,34,#808080
CAMIE,3,#808080
SNAP,3,#808080
OWEN,10,#808080
BERU,6,#808080
OBI-WAN,45,#48D1CC
CAPTAIN ANTILLES,2,#808080
TARKIN,16,#808080
MOTTI,3,#808080
CHEWBACCA,42,#A0522D
HAN,62,#ff9400
JABBA,3,#808080
GREEDO,3,#808080
WEDGE,27,#808080
GOLD LEADER,20,#808080
DODONNA,10,#808080
RED LEADER,47,#808080
RED TEN,12,#808080
GOLD FIVE,12,#808080
