name,value,colour
EMPEROR,62,#191970
COUNT DOOKU,14,#808080
OBI-WAN,108,#48D1CC
R2-D2,40,#bde0f6
ANAKIN,105,#ce3b59
GENERAL GRIEVOUS,35,#808080
RED LEADER,3,#808080
ODD BALL,4,#808080
C-3PO,20,#FFD700
BAIL ORGANA,28,#808080
MACE WINDU,10,#808080
JAR JAR,4,#9a9a00
PADME,40,#DDA0DD
YODA,35,#9ACD32
MON MOTHMA,3,#808080
FANG ZAR,4,#808080
GIDDEAN DANU,3,#808080
KI-ADI-MUNDI,5,#808080
PLO KOON,5,#808080
CAPTAIN TYPHO,5,#808080
CLONE COMMANDER GREE,4,#808080
CLONE COMMANDER CODY,4,#808080
TION MEDON,3,#808080
NUTE GUNRAY,7,#808080
RUNE,4,#808080
POGGLE,3,#808080
DARTH VADER,13,#000000
CHEWBACCA,4,#A0522D
CAPTAIN ANTILLES,3,#808080
QUI-GON,3,#4f4fb1
LUKE,2,#3881e5
LEIA,2,#DCDCDC
SIO BIBBLE,2,#808080
TARKIN,2,#808080
BERU,2,#808080
OWEN,2,#808080
