name,value,colour
R2-D2,171,#bde0f6
CHEWBACCA,145,#A0522D
BB-8,40,#eb5d00
QUI-GON,62,#4f4fb1
NUTE GUNRAY,25,#808080
PK-4,4,#808080
TC-14,5,#808080
OBI-WAN,148,#48D1CC
DOFINE,4,#808080
RUNE,11,#808080
TEY HOW,5,#808080
EMPEROR,52,#191970
CAPTAIN PANAKA,20,#808080
SIO BIBBLE,9,#808080
JAR JAR,42,#9a9a00
TARPALS,4,#808080
BOSS NASS,5,#808080
PADME,75,#DDA0DD
RIC OLIE,12,#808080
WATTO,9,#808080
ANAKIN,132,#ce3b59
SEBULBA,4,#808080
JIRA,4,#808080
SHMI,12,#808080
C-3PO,151,#FFD700
DARTH MAUL,6,#808080
KITSTER,5,#808080
WALD,4,#808080
FODE/BEED,12,#808080
JABBA,8,#808080
GREEDO,4,#808080
VALORUM,4,#808080
MACE WINDU,23,#808080
KI-ADI-MUNDI,7,#808080
YODA,46,#9ACD32
RABE,3,#808080
BAIL ORGANA,24,#808080
GENERAL CEEL,5,#808080
BRAVO TWO,6,#808080
BRAVO THREE,4,#808080
CAPTAIN TYPHO,7,#808080
SENATOR ASK AAK,4,#808080
ORN FREE TAA,4,#808080
SOLA,4,#808080
JOBAL,4,#808080
RUWEE,5,#808080
TAUN WE,8,#808080
LAMA SU,9,#808080
BOBA FETT,11,#808080
JANGO FETT,6,#808080
OWEN,11,#808080
BERU,7,#808080
CLIEGG,4,#808080
COUNT DOOKU,10,#808080
SUN RIT,4,#808080
POGGLE,4,#808080
PLO KOON,4,#808080
ODD BALL,5,#808080
GENERAL GRIEVOUS,13,#808080
FANG ZAR,4,#808080
MON MOTHMA,5,#808080
GIDDEAN DANU,3,#808080
CLONE COMMANDER GREE,5,#808080
CLONE COMMANDER CODY,5,#808080
TION MEDON,4,#808080
CAPTAIN ANTILLES,4,#808080
DARTH VADER,59,#000000
LUKE,161,#3881e5
CAMIE,4,#808080
BIGGS,19,#808080
LEIA,99,#DCDCDC
MOTTI,4,#808080
TARKIN,13,#808080
HAN,170,#ff9400
DODONNA,4,#808080
GOLD LEADER,15,#808080
WEDGE,29,#808080
RED LEADER,34,#808080
RED TEN,9,#808080
GOLD FIVE,9,#808080
RIEEKAN,8,#808080
DERLIN,4,#808080
ZEV,7,#808080
PIETT,13,#808080
OZZEL,4,#808080
DACK,5,#808080
JANSON,5,#808080
NEEDA,4,#808080
LANDO,42,#808080
JERJERROD,4,#808080
BIB FORTUNA,4,#808080
BOUSHH,4,#808080
ADMIRAL ACKBAR,13,#808080
LOR SAN TEKKA,5,#808080
POE,31,#a15bea
KYLO REN,23,#000000
CAPTAIN PHASMA,7,#808080
FINN,64,#07b19f
UNKAR PLUTT,6,#808080
REY,57,#ffe0af
GENERAL HUX,15,#808080
LIEUTENANT MITAKA,4,#808080
BALA-TIK,5,#808080
SNOKE,5,#191970
MAZ,7,#808080
SNAP,6,#808080
ADMIRAL STATURA,4,#808080
YOLO ZIFF,4,#808080
COLONEL DATOO,4,#808080
ELLO ASTY,5,#808080
JESS,5,#808080
NIV LEK,4,#808080
