name,value,colour
C-3PO,42,#FFD700
LUKE,88,#3881e5
DARTH VADER,25,#000000
CAMIE,3,#808080
BIGGS,18,#808080
LEIA,25,#DCDCDC
BERU,5,#808080
OWEN,6,#808080
OBI-WAN,22,#48D1CC
MOTTI,3,#808080
TARKIN,12,#808080
HAN,44,#ff9400
GREEDO,2,#808080
JABBA,2,#808080
DODONNA,3,#808080
GOLD LEADER,14,#808080
WEDGE,15,#808080
RED LEADER,33,#808080
RED TEN,8,#808080
GOLD FIVE,8,#808080
