name,value,colour
ANAKIN,53,#ce3b59
OBI-WAN,59,#48D1CC
ODD BALL,4,#808080
GENERAL GRIEVOUS,12,#808080
EMPEROR,24,#191970
COUNT DOOKU,2,#808080
BAIL ORGANA,20,#808080
C-3PO,15,#FFD700
PADME,23,#DDA0DD
YODA,23,#9ACD32
FANG ZAR,3,#808080
MON MOTHMA,3,#808080
GIDDEAN DANU,2,#808080
MACE WINDU,7,#808080
CAPTAIN TYPHO,3,#808080
CLONE COMMANDER GREE,4,#808080
CLONE COMMANDER CODY,4,#808080
JAR JAR,2,#9a9a00
TION MEDON,3,#808080
NUTE GUNRAY,5,#808080
PLO KOON,2,#808080
CAPTAIN ANTILLES,3,#808080
DARTH VADER,4,#000000
QUI-GON,2,#4f4fb1
