name,value,colour
R2-D2,30,#bde0f6
CHEWBACCA,46,#A0522D
LUKE,45,#3881e5
HAN,51,#ff9400
RIEEKAN,8,#808080
LEIA,46,#DCDCDC
C-3PO,46,#FFD700
DERLIN,4,#808080
OBI-WAN,4,#48D1CC
ZEV,7,#808080
PIETT,10,#808080
OZZEL,4,#808080
DARTH VADER,21,#000000
DACK,5,#808080
WEDGE,9,#808080
JANSON,5,#808080
NEEDA,4,#808080
EMPEROR,3,#191970
YODA,7,#9ACD32
BOBA FETT,6,#808080
LANDO,23,#808080
