name,value,colour
LUKE,2,#3881e5
R2-D2,5,#bde0f6
CHEWBACCA,43,#A0522D
BB-8,40,#eb5d00
LOR SAN TEKKA,5,#808080
POE,31,#a15bea
KYLO REN,23,#000000
CAPTAIN PHASMA,7,#808080
FINN,64,#07b19f
UNKAR PLUTT,6,#808080
REY,57,#ffe0af
GENERAL HUX,15,#808080
LIEUTENANT MITAKA,4,#808080
HAN,47,#ff9400
BALA-TIK,5,#808080
SNOKE,5,#191970
MAZ,7,#808080
C-3PO,9,#FFD700
LEIA,11,#DCDCDC
SNAP,6,#808080
ADMIRAL ACKBAR,5,#808080
ADMIRAL STATURA,4,#808080
YOLO ZIFF,4,#808080
COLONEL DATOO,4,#808080
ELLO ASTY,5,#808080
JESS,5,#808080
NIV LEK,4,#808080
