name,value,colour
R2-D2,15,#bde0f6
CAPTAIN TYPHO,5,#808080
EMPEROR,7,#191970
SENATOR ASK AAK,4,#808080
ORN FREE TAA,4,#808080
MACE WINDU,13,#808080
YODA,13,#9ACD32
KI-ADI-MUNDI,4,#808080
BAIL ORGANA,4,#808080
JAR JAR,7,#9a9a00
OBI-WAN,34,#48D1CC
ANAKIN,40,#ce3b59
PADME,24,#DDA0DD
PK-4,3,#808080
SIO BIBBLE,3,#808080
SOLA,4,#808080
JOBAL,4,#808080
RUWEE,5,#808080
TAUN WE,8,#808080
LAMA SU,9,#808080
BOBA FETT,7,#808080
JANGO FETT,6,#808080
WATTO,3,#808080
C-3PO,10,#FFD700
OWEN,6,#808080
BERU,3,#808080
CLIEGG,4,#808080
SHMI,3,#808080
COUNT DOOKU,9,#808080
SUN RIT,4,#808080
POGGLE,4,#808080
NUTE GUNRAY,4,#808080
PLO KOON,3,#808080
