name,value,colour
COUNT DOOKU,20,#808080
R2-D2,21,#bde0f6
PADME,51,#DDA0DD
JAR JAR,10,#9a9a00
CAPTAIN TYPHO,8,#808080
EMPEROR,9,#191970
SENATOR ASK AAK,3,#808080
ORN FREE TAA,4,#808080
BAIL ORGANA,4,#808080
MACE WINDU,14,#808080
KI-ADI-MUNDI,8,#808080
OBI-WAN,66,#48D1CC
YODA,15,#9ACD32
ANAKIN,62,#ce3b59
PK-4,2,#808080
NUTE GUNRAY,4,#808080
SIO BIBBLE,2,#808080
QUI-GON,2,#4f4fb1
RUWEE,4,#808080
JOBAL,3,#808080
SOLA,3,#808080
TAUN WE,10,#808080
LAMA SU,8,#808080
JANGO FETT,16,#808080
BOBA FETT,10,#808080
SHMI,4,#808080
WATTO,2,#808080
SNAP,2,#808080
C-3PO,13,#FFD700
BERU,7,#808080
OWEN,6,#808080
CLIEGG,5,#808080
POGGLE,3,#808080
SUN RIT,3,#808080
PLO KOON,3,#808080
