name,value,colour
LUKE,57,#3881e5
HAN,46,#ff9400
JABBA,21,#808080
DARTH VADER,24,#000000
EMPEROR,20,#191970
JERJERROD,4,#808080
SNAP,3,#808080
C-3PO,37,#FFD700
R2-D2,31,#bde0f6
CHEWBACCA,39,#A0522D
LANDO,31,#808080
BIB FORTUNA,7,#808080
BOBA FETT,5,#808080
BOUSHH,3,#808080
LEIA,38,#DCDCDC
OBI-WAN,8,#48D1CC
YODA,5,#9ACD32
ANAKIN,6,#ce3b59
OWEN,2,#808080
ADMIRAL ACKBAR,11,#808080
WEDGE,8,#808080
MON MOTHMA,2,#808080
PIETT,4,#808080
RED LEADER,3,#808080
GOLD LEADER,6,#808080
