name,value,colour
QUI-GON,60,#4f4fb1
NUTE GUNRAY,18,#808080
PK-4,2,#808080
TC-14,4,#808080
OBI-WAN,33,#48D1CC
DOFINE,3,#808080
RUNE,10,#808080
TEY HOW,4,#808080
EMPEROR,13,#191970
CAPTAIN PANAKA,19,#808080
SIO BIBBLE,7,#808080
JAR JAR,35,#9a9a00
TARPALS,3,#808080
BOSS NASS,4,#808080
PADME,30,#DDA0DD
RIC OLIE,11,#808080
WATTO,7,#808080
ANAKIN,40,#ce3b59
SEBULBA,3,#808080
JIRA,3,#808080
SHMI,10,#808080
C-3PO,5,#FFD700
DARTH MAUL,5,#808080
KITSTER,4,#808080
WALD,3,#808080
FODE/BEED,11,#808080
JABBA,3,#808080
GREEDO,2,#808080
VALORUM,3,#808080
MACE WINDU,5,#808080
KI-ADI-MUNDI,4,#808080
YODA,6,#9ACD32
RABE,2,#808080
BAIL ORGANA,2,#808080
GENERAL CEEL,4,#808080
BRAVO TWO,5,#808080
BRAVO THREE,3,#808080
