name,value,colour
CAPTAIN TYPHO,4,#808080
EMPEROR,6,#191970
SENATOR ASK AAK,3,#808080
ORN FREE TAA,3,#808080
MACE WINDU,12,#808080
YODA,12,#9ACD32
KI-ADI-MUNDI,3,#808080
BAIL ORGANA,3,#808080
JAR JAR,6,#9a9a00
OBI-WAN,33,#48D1CC
ANAKIN,39,#ce3b59
PADME,23,#DDA0DD
PK-4,2,#808080
SIO BIBBLE,2,#808080
SOLA,3,#808080
JOBAL,3,#808080
RUWEE,4,#808080
TAUN WE,7,#808080
LAMA SU,8,#808080
BOBA FETT,6,#808080
JANGO FETT,5,#808080
WATTO,2,#808080
C-3PO,9,#FFD700
OWEN,5,#808080
BERU,2,#808080
CLIEGG,3,#808080
SHMI,2,#808080
COUNT DOOKU,8,#808080
SUN RIT,3,#808080
POGGLE,3,#808080
NUTE GUNRAY,3,#808080
PLO KOON,2,#808080
